TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
neg9624,negative,563.1191,Benzenoids,Uncertain,Uncertain,Polyketides,theaflavin
neg9625,negative,653.2792,Phenylpropanoids and polyketides,Linear diarylheptanoids,Linear diarylheptanoids,Shikimates and Phenylpropanoids,NA
neg9628,negative,539.1209,Benzenoids,Benzoic acids and derivatives,Galloyl esters,Polyketides,Depsides
neg9630,negative,509.1098,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,NA
neg9633,negative,669.3109,Organic acids and derivatives,Hybrid peptides,Hybrid peptides,Alkaloids,NA
neg9637,negative,361.0583,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,NA
neg9638,negative,523.1621,Lignans neolignans and related compounds,Uncertain,Furanoid lignans,Shikimates and Phenylpropanoids,Depsides
neg9640,negative,167.0356,Benzenoids,Benzoic acids and derivatives,Salicylic acids,Shikimates and Phenylpropanoids,orsellinic acid
neg9642,negative,493.1153,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,NA
neg9643,negative,685.3042,Organoheterocyclic compounds,Uncertain,Naphthopyrans,Terpenoids,NA
neg9648,negative,517.1134,Benzenoids,Uncertain,Anthracenes,Polyketides,NA
neg9649,negative,653.2793,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Shikimates and Phenylpropanoids,NA
neg9651,negative,685.3058,Uncertain,Uncertain,Lignan glycosides,Shikimates and Phenylpropanoids,Taxane diterpenoids
neg9657,negative,281.0313,Benzenoids,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Shikimates and Phenylpropanoids,Simple phenolic acids
neg9659,negative,399.1574,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,Oprea1 358299
neg966,negative,533.3497,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg9661,negative,375.1834,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Terpenoids,Howflex CP
neg9668,negative,671.2897,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Terpenoids,+AFs-(4aR 5S 6R 8S 8aR) 5 +AFs-(3aS 6aR) 5 hydroxy 2 3 3a 4 5 6a hexahydrofuro+AFs-2 3 b+AF0-furan 2 yl+AF0- 8 acetyloxy 8a (acetyloxymethyl) 3 hydroxy 5 6 dimethylspiro+AFs-3 4 4a 6 7 8 hexahydro 2H naphthalene 1 2 oxirane+AF0- 2 yl+AF0- (2S 3R) 3 acetyloxy 2 methylbutanoate
neg9669,negative,181.0515,Benzenoids,Methoxyphenols,Methoxyphenols,Shikimates and Phenylpropanoids,homovanillic acid
neg967,negative,517.3546,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,corosolic acid
neg9671,negative,313.0732,Benzenoids,Uncertain,Benzene and substituted derivatives,Alkaloids,5 (4 oxoquinazolin 3 yl) 1 phenylpyrazole 4 carboxylic acid
neg9683,negative,669.274,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Terpenoids,NA
neg9692,negative,525.1049,Phenylpropanoids and polyketides,Flavans,Catechins,Polyketides,hyemaloside B
neg9700,negative,637.2841,Lipids and lipid like molecules,Terpene glycosides,Diterpene glycosides,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg971,negative,469.3333,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,glycyrrhetinic acid
neg9716,negative,539.121,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg9717,negative,683.2893,Lipids and lipid like molecules,Fatty acyl glycosides,Fatty acyl glycosides of mono and disaccharides,Terpenoids,NA
neg9723,negative,353.1517,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,N +AFs-(2 acetyl 3 4 dihydro 1H isoquinolin 1 yl)methyl+AF0-benzamide
neg9728,negative,509.1101,Phenylpropanoids and polyketides,Uncertain,Catechin gallates,Polyketides,NA
neg973,negative,503.339,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg9730,negative,249.0049,Benzenoids,Uncertain,Thiophenol ethers,Shikimates and Phenylpropanoids,5 (4 methylthiophenyl)thiophene 2 carboxylic acid
neg9732,negative,525.1414,Benzenoids,Benzoic acids and derivatives,Galloyl esters,Uncertain,Simple phenolic acids
neg9737,negative,511.0896,Benzenoids,Benzoic acids and derivatives,Galloyl esters,Shikimates and Phenylpropanoids,Isoflavones
neg9745,negative,269.0311,Uncertain,Fatty acids and conjugates,Thia fatty acids,Uncertain,NA
neg975,negative,589.3923,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg9759,negative,637.2852,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Taxane diterpenoids
neg9762,negative,509.3128,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Dolabellane diterpenoids
neg9768,negative,525.1051,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Phenolic glycosides,Shikimates and Phenylpropanoids,hyemaloside B
neg977,negative,469.3332,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,glycyrrhetinic acid
neg9774,negative,671.29,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg9777,negative,257.0314,Organic acids and derivatives,Tetracarboxylic acids and derivatives,Tetracarboxylic acids and derivatives,Amino acids and Peptides,NA
neg9781,negative,569.1317,Phenylpropanoids and polyketides,Uncertain,Tannins,Shikimates and Phenylpropanoids,NA
neg9782,negative,221.0461,Benzenoids,Uncertain,Gallic acid and derivatives,Shikimates and Phenylpropanoids,Isocoumarins
neg9784,negative,511.1258,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid O glycosides,Shikimates and Phenylpropanoids,Isoflavones
neg9785,negative,355.0684,Phenylpropanoids and polyketides,Hydrolyzable tannins,Hydrolyzable tannins,Shikimates and Phenylpropanoids,methyl 3 4 5 trisacetyloxybenzoate
neg9787,negative,381.0844,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Uncertain,Terpenoids,Iridoids monoterpenoids
neg979,negative,513.3595,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
neg9796,negative,185.0461,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Amino acids and Peptides,endothal
neg9797,negative,637.2845,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg980,negative,485.3282,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
neg9811,negative,685.3054,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Fatty acids,Taxane diterpenoids
neg9824,negative,321.0264,Organoheterocyclic compounds,Uncertain,Benzopyrans,Shikimates and Phenylpropanoids,NA
neg9829,negative,275.0779,Uncertain,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,D Glucose O D xylosyl 
neg9848,negative,523.1618,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg9866,negative,381.0838,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Uncertain,Terpenoids,Iridoids monoterpenoids
neg9878,negative,191.0357,Uncertain,Uncertain,Uncertain,Shikimates and Phenylpropanoids,Simple phenolic acids
neg9880,negative,563.2306,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Limonoids
neg9888,negative,161.025,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,2 5 dihydroxycinnamic acid
neg9902,negative,229.1089,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,5 Hydroxypentyl Alpha D Glucopyranoside
neg9904,negative,359.0788,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Polyketides,Depsides
neg9911,negative,301.1303,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Uncertain,NA
neg9914,negative,523.2335,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg9921,negative,701.3007,Lignans neolignans and related compounds,Uncertain,Lignan glycosides,Shikimates and Phenylpropanoids,Kaurane and Phyllocladane diterpenoids
neg9927,negative,649.2098,Lignans neolignans and related compounds,Uncertain,Lignan glycosides,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg9947,negative,649.2101,Lignans neolignans and related compounds,Podophyllotoxins,Podophyllotoxins,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg9948,negative,197.0825,Organic acids and derivatives,Uncertain,Uncertain,Fatty acids,NA
neg9960,negative,637.2478,Lipids and lipid like molecules,Steroidal glycosides,Steroidal glycosides,Terpenoids,Linear diarylheptanoids
neg9967,negative,197.0824,Organic acids and derivatives,Medium chain keto acids and derivatives,Medium chain keto acids and derivatives,Fatty acids,NA
neg9986,negative,649.2103,Uncertain,Fatty acyl glycosides,Uncertain,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg9999,negative,509.1098,Phenylpropanoids and polyketides,Uncertain,Catechin gallates,Polyketides,NA
pos1001,positive,336.2535,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,NA
pos1002,positive,125.0233,Organoheterocyclic compounds,Uncertain,Furoic acids,Uncertain,5 hydroxymethyl 2 furoic acid
pos1004,positive,319.2277,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Pimarane and Isopimarane diterpenoids
pos1005,positive,255.2114,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Abietane diterpenoids
pos1007,positive,285.2223,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,isopimaric acid
pos1008,positive,102.1278,Organic nitrogen compounds,Amines,1 2 aminoalcohols,Alkaloids,triethylamine
pos1009,positive,256.1335,Organic acids and derivatives,Amino acids peptides and analogues,Phenylalanine and derivatives,Amino acids and Peptides,dl Phenylalanine N benzyl 
pos1010,positive,381.2183,Organic acids and derivatives,Amino acids peptides and analogues,Carbamate esters,Amino acids and Peptides,NA
pos1011,positive,224.1278,Benzenoids,Methoxyphenols,Methoxyphenols,Alkaloids,Etamivan
pos1013,positive,240.1223,Benzenoids,Benzoic acids and derivatives,Benzoic acid esters,Shikimates and Phenylpropanoids,p Diethyl phthalate
pos1015,positive,300.1236,Benzenoids,Benzyloxycarbonyls,Benzyloxycarbonyls,Amino acids and Peptides,Oprea1 877431
pos1017,positive,374.16,Benzenoids,Benzoic acids and derivatives,M methoxybenzoic acids and derivatives,Alkaloids,Dibenzylbutane lignans
pos1022,positive,295.1659,Lipids and lipid like molecules,Fatty acids and conjugates,Amino fatty acids,Alkaloids,AmbotzAAA1505
pos1023,positive,401.244,Organic acids and derivatives,Amino acids peptides and analogues,Phenylalanine and derivatives,Amino acids and Peptides,3 (2 methoxyphenyl) 1 morpholin 4 yl 3 (4 propan 2 yloxyphenyl)propan 1 one
pos1024,positive,537.2394,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,Chalcones
pos1027,positive,149.0232,Organoheterocyclic compounds,Benzofuranones,Phthalic anhydrides,Polyketides,phthalic anhydride
pos1030,positive,221.186,Organic nitrogen compounds,Quaternary ammonium salts,Tetraalkylammonium salts,Alkaloids,N Boc DL 2 amino 1 pentanol
pos1031,positive,524.1928,Benzenoids,Benzoic acids and derivatives,Benzoic acid esters,Polyketides,+AFs-7 methyl 3 oxo 2 +AFs-(3 4 5 trimethoxyphenyl)methylidene+AF0- 1 benzofuran 6 yl+AF0- 2 6 dimethoxybenzoate
pos1033,positive,180.1382,Organic oxygen compounds,Alcohols and polyols,Uncertain,Alkaloids,2 methylprop 2 enoxymethylbenzene
pos1034,positive,145.0471,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols,Fatty acids,NA
pos1035,positive,181.0649,Benzenoids,Uncertain,Fluorenes,Polyketides,fluorenone
pos1038,positive,311.1613,Organic acids and derivatives,Amino acids peptides and analogues,Carbamate esters,Amino acids and Peptides,(2S) 2 +AFsAWw-(2S 3S) 2 +AFsAWw-(3S) 4 ethoxy 3 hydroxy 4 oxobutanoyl+AF0-amino+AF0- 3 methylpentanoyl+AF0-amino+AF0-propanoic acid
pos1042,positive,188.1281,Organic acids and derivatives,Carboxylic acid derivatives,Uncertain,Amino acids and Peptides,methyl 2 acetylcyclopentane 1 carboxylate
pos1044,positive,196.0968,Benzenoids,Benzoyl derivatives,Benzoyl derivatives,Shikimates and Phenylpropanoids,NA
pos1046,positive,227.1753,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Fatty acids,nylon linear dimer
pos1053,positive,346.1287,Phenylpropanoids and polyketides,Uncertain,Depsides and depsidones,Uncertain,3 Hydroxy 2 4 7 trimethoxyflavone
pos1054,positive,254.1377,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Uncertain,Carboxyibuprofen
pos1055,positive,466.1907,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Amino acids and Peptides,acarbose derived trisaccharide
pos1062,positive,311.2217,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,trans EKODE (E) Ib
pos1063,positive,148.0968,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,2 formylpentanoate
pos1064,positive,279.2324,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,+A7E- linolenic acid
pos1066,positive,422.3474,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Fatty acids,ventosic acid
pos1069,positive,262.1179,Organic nitrogen compounds,Uncertain,Uncertain,Amino acids and Peptides,L Phenylalanine L asparaginyl 
pos1070,positive,427.3223,Organic acids and derivatives,Amino acids peptides and analogues,Dipeptides,Amino acids and Peptides,1 +AFs-4 7 10 tris(2 hydroxypropyl) 1 4 7 10 tetrazacyclododec 1 yl+AF0-propan 2 ol
pos1071,positive,419.218,Benzenoids,Methoxyphenols,Methoxyphenols,Alkaloids,Tocris 0930
pos1072,positive,834.22,Benzenoids,Tetracenequinones,Tetracenequinones,Polyketides,NA
pos1073,positive,375.1082,Benzenoids,Benzophenones,Benzophenones,Polyketides,Acyl phloroglucinols
pos1077,positive,230.2115,Organic nitrogen compounds,Amines,1 2 aminoalcohols,Fatty acids,Allyl caprate
pos1078,positive,240.0866,Organic acids and derivatives,Amino acids peptides and analogues,Serine and derivatives,Amino acids and Peptides,Oprea1 033776
pos1080,positive,179.0342,Organoheterocyclic compounds,1 benzopyrans,1 benzopyrans,Polyketides,5 7 dihydroxychromen 2 one
pos1082,positive,328.1545,Organic acids and derivatives,Amino acids peptides and analogues,Carbamate esters,Amino acids and Peptides,N Carbobenzoxy L phenylalanine ethyl ester
pos1083,positive,319.1172,Organic oxygen compounds,Carbonyl compounds,Alkyl phenylketones,Shikimates and Phenylpropanoids,Chalcones
pos1085,positive,146.1539,Organic nitrogen compounds,Amines,Alkanolamines,Alkaloids,4 ethylhex 5 en 2 ol
pos1088,positive,143.1177,Organic acids and derivatives,Uncertain,Alpha amino acid amides,Uncertain,PurpurosamineB
pos1090,positive,180.1383,Lipids and lipid like molecules,Monoterpenoids,Aromatic monoterpenoids,Uncertain,Candicin
pos1091,positive,198.0795,Organoheterocyclic compounds,Pyrimidines and pyrimidine derivatives,Halopyrimidines,Alkaloids,7 (2 Fluoroethyl)guanine
pos1093,positive,762.1816,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Polyketides,NA
pos1096,positive,126.055,Organoheterocyclic compounds,Uncertain,Lactams,Alkaloids,Conduritol aziridine
pos1097,positive,336.3279,Lipids and lipid like molecules,Uncertain,Prenol lipids,Terpenoids,Anandamide (20:l n 9)
pos1098,positive,162.0761,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Amino acids and Peptides,Aminoacids
pos1100,positive,331.1175,Lignans neolignans and related compounds,Uncertain,Lignans neolignans and related compounds,Shikimates and Phenylpropanoids,Ambcb7625652
pos1107,positive,331.117,Benzenoids,Uncertain,Benzene and substituted derivatives,Alkaloids,+AFs-4 phenyl 6 (trifluoromethyl)pyrimidin 2 yl+AF0-(3 pyridylmethyl)amine
pos1108,positive,279.2324,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,vernolic acids
pos1112,positive,235.0598,Phenylpropanoids and polyketides,Uncertain,Coumarins and derivatives,Shikimates and Phenylpropanoids,Oprea1 229870
pos1115,positive,143.1179,Organic acids and derivatives,Uncertain,Alpha amino acid amides,Uncertain,PurpurosamineB
pos1116,positive,612.164,Organic acids and derivatives,Amino acids peptides and analogues,L alpha amino acids,Amino acids and Peptides,NA
pos1117,positive,197.0599,Organic acids and derivatives,Carboxylic acids,Carboxylic acids,Fatty acids,NA
pos1118,positive,317.2099,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,Pimarane and Isopimarane diterpenoids
pos1124,positive,328.2487,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,trans EKODE (E) Ib
pos1129,positive,454.3913,Lipids and lipid like molecules,Fatty amides,N acyl amines,Polyketides,cholestane 3 7 12 26 tetrol
pos1133,positive,323.2581,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
pos1136,positive,348.2744,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,pinellic acid
pos1137,positive,595.1372,Uncertain,Uncertain,Stilbenes,Alkaloids,4H Pyrido(4 3 :4 5)thieno(3 2 f)(1 2 4)triazolo(4 3 a)(1 4)diazepine 9(8H) carbothioamide 7 10 dihydro 6 (2 chlorophenyl) 1 methyl N (3 4 5 trimethoxyphenyl) 
pos1139,positive,347.1121,Benzenoids,Benzoic acids and derivatives,M methoxybenzoic acids and derivatives,Shikimates and Phenylpropanoids,Dihydroflavonols
pos1152,positive,336.3277,Lipids and lipid like molecules,Fatty amides,N acyl amines,Fatty acids,Anandamide (20:l n 9)
pos1153,positive,347.112,Benzenoids,Uncertain,M methoxybenzoic acids and derivatives,Shikimates and Phenylpropanoids,Dihydroflavonols
pos1157,positive,217.1912,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Alkaloids,NA
pos1158,positive,391.306,Lipids and lipid like molecules,Fatty alcohols,Fatty alcohols,Fatty acids,Hydroxy fatty acids
pos1160,positive,232.1544,Lipids and lipid like molecules,Fatty acid esters,Acyl carnitines,Fatty acids,Butyrylcarnitine
pos1162,positive,279.2321,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,+A7E- linolenic acid
pos1163,positive,277.2165,Lipids and lipid like molecules,Uncertain,Long chain fatty acids,Uncertain,13 Kodda
pos1166,positive,151.0392,Organic acids and derivatives,Uncertain,Uncertain,Shikimates and Phenylpropanoids,orsellinic acid
pos1170,positive,134.1174,Organic nitrogen compounds,Amines,1 2 aminoalcohols,Uncertain,5 hydroxyhexanal
pos1172,positive,403.2113,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,Linear polyenes
pos1173,positive,315.1591,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,grandiflorone
pos1174,positive,513.2125,Organic acids and derivatives,Amino acids peptides and analogues,Cyclic peptides,Amino acids and Peptides,Other indole diketopiperazine alkaloids
pos1175,positive,480.2862,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Terpenoids,N N bis+AFs-2 (3 4 dimethoxyphenyl)ethyl+AF0- 2 phenylethanimidamide
pos1176,positive,512.3121,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
pos1177,positive,782.5699,Lipids and lipid like molecules,Glycerophosphocholines,Phosphatidylcholines,Fatty acids,Dlpc lipid
pos1181,positive,287.1269,Organic nitrogen compounds,Amines,Tertiary amines,Alkaloids,Urea 4 6 trimethylphenyl) 
pos1182,positive,279.2322,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,+A7E- linolenic acid
pos1187,positive,287.1965,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,N Acetyl leucyl leucine
pos1188,positive,432.3002,Benzenoids,Uncertain,Uncertain,Alkaloids,NA
pos1190,positive,527.2272,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Polyketides,10 deacetylbaccatin III
pos1191,positive,139.0025,Organoheterocyclic compounds,Triazoles,Triazoles,Alkaloids,3 amino 1h 1 2 4 triazol 5 ol
pos1193,positive,285.1485,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,Germacrane sesquiterpenoids
pos1194,positive,482.3013,Organic acids and derivatives,Amino acids peptides and analogues,Uncertain,Uncertain,2 +AFsAWw-4 +AFsAWwBb-4 methyl 2 +AFs-(2 methylpropan 2 yl)oxycarbonylamino+AF0-pentanoyl+AF0-amino+AF0-methyl+AF0-cyclohexanecarbonyl+AF0-amino+AF0- 3 phenylpropanoic acid
pos1195,positive,266.1235,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Carbohydrates,Disaccharides
pos1197,positive,259.1329,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Uncertain,2 pyrone derivatives
pos1201,positive,448.2696,Lipids and lipid like molecules,Fatty amides,N acyl amines,Polyketides,2 +AFs-(4R 5R) 5 (3 hydroxy 4 methyl 5 oxohept 1 en 2 yl) 2 4 6 trimethyl 7 oxabicyclo+AFs-4.1.0+AF0-hept 2 en 4 yl+AF0- 6 methoxy 3 5 dimethylpyran 4 one
pos1202,positive,129.0182,Organoheterocyclic compounds,Pyranones and derivatives,Pyranones and derivatives,Polyketides,2 Dehydro D xylonate
pos1203,positive,158.092,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,1 4 Diisocyanatobutane
pos1204,positive,482.3016,Alkaloids and derivatives,Uncertain,Corynanthean type alkaloids,Alkaloids,NA
pos1208,positive,448.295,Organic acids and derivatives,Uncertain,Uncertain,Alkaloids,NA
pos1211,positive,598.3486,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Polyketides,5 ((1 3 Dioxo 3 (4 ((1 oxohexadecyl)amino)phenyl)propyl)amino)isophthalic acid
pos1213,positive,388.1247,Nucleosides nucleotides and analogues,Uncertain,Pyrimidine nucleotides,Carbohydrates,N Acetylphosphinothricin tripeptide
pos1214,positive,120.0654,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,L threonine
pos1215,positive,419.2059,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,Linear polyenes
pos1217,positive,277.1394,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,L saccharopine
pos1221,positive,439.2484,Lipids and lipid like molecules,Monoterpenoids,Aromatic monoterpenoids,Polyketides,Drimane sesquiterpenoids
pos1222,positive,437.9723,Benzenoids,N phenylureas,N phenylureas,Uncertain,N (2 Bromo 4 fluorophenyl) N methyl 2 4 dinitro 6 (trifluoromethyl)aniline
pos1226,positive,204.0868,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Uncertain,N acetylglucosamine
pos1228,positive,387.2164,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,NA
pos1231,positive,294.1547,Organic acids and derivatives,Amino acids peptides and analogues,L alpha amino acids,Amino acids and Peptides,NA
pos1233,positive,206.1024,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Carbohydrates,Glucotalooctamine
pos1234,positive,297.1488,Benzenoids,Uncertain,Benzenoids,Polyketides,Gibberellins
pos1235,positive,247.2016,Organic nitrogen compounds,Quaternary ammonium salts,Cholines,Uncertain,12 amino 7 oxododecanoic acid
pos1237,positive,133.0605,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,aspartic acid
pos1238,positive,254.1604,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,Arginylproline
pos1239,positive,295.2268,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,13 Kodda
pos1240,positive,364.2381,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Alkaloids,NA
pos1241,positive,140.0342,Organoheterocyclic compounds,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,Alkaloids,5 hydroxypyridine 2 carboxylic acid
pos1242,positive,156.0767,Organic acids and derivatives,Amino acids peptides and analogues,Histidine and derivatives,Amino acids and Peptides,L histidine
pos1246,positive,301.1433,Organic oxygen compounds,Ethers,Alkyl aryl ethers,Polyketides,Fungal DPEs
pos1248,positive,120.0807,Organic nitrogen compounds,Amines,Aralkylamines,Alkaloids,1R 2 amino 1 phenylethanol
pos1252,positive,219.1339,Organic acids and derivatives,Amino acids peptides and analogues,Dipeptides,Amino acids and Peptides,Aminoacids
pos1253,positive,144.0479,Organoheterocyclic compounds,Thiazoles,Thiazoles,Alkaloids,5 methylthiophene 2 carbaldehyde
pos1255,positive,274.0916,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,2 +AFs-(2S 3R 4R 5S 6R) 2 5 dihydroxy 3 +AFs-(2 hydroxyacetyl)amino+AF0- 6 (hydroxymethyl)oxan 4 yl+AF0-oxypropanoic acid
pos1258,positive,466.3064,Uncertain,Uncertain,Uncertain,Alkaloids,1 3 Diphenyl 5 dodecylbarbituric acid
pos1259,positive,150.0584,Lipids and lipid like molecules,Fatty acids and conjugates,Thia fatty acids,Fatty acids,thiolane 2 carboxylic acid
pos1261,positive,138.0549,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Amino acids and Peptides,Gynesine
pos1262,positive,229.1214,Organic acids and derivatives,Short chain hydroxy acids and derivatives,Short chain hydroxy acids and derivatives,Uncertain,NA
pos1264,positive,252.1079,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Carbohydrates,Ambap1114 41 6
pos1265,positive,222.0972,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,Carbohydrates,betaGlcNAc
pos1266,positive,377.3208,Lipids and lipid like molecules,Uncertain,Steroids and steroid derivatives,Terpenoids,NA
pos1269,positive,495.2028,Organic acids and derivatives,Amino acids peptides and analogues,Oligopeptides,Amino acids and Peptides,Other indole diketopiperazine alkaloids
pos1274,positive,158.1177,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,ACMC 20mojr
pos1275,positive,124.0394,Organic acids and derivatives,Uncertain,Amino acids and derivatives,Amino acids and Peptides,niacin
pos1276,positive,229.0329,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids,Amino acids and Peptides,S +AFs-2 (Aminosulfonyl)ethyl+AF0- D Cysteine
pos1280,positive,293.211,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,Other Octadecanoids
pos1282,positive,275.1274,Uncertain,Uncertain,Medium chain fatty acids,Polyketides,3 3 4 4 tetramethoxy 1 1 biphenyl
pos1284,positive,379.3364,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,1alpha Hydroxy VD4
pos1286,positive,480.3092,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Fatty acids,1 18:1 lysoPE
