"";"domain";"phylum";"class";"order";"family";"genus";"species";"Taxonomy";"taxon";"guid";"mbNumber";"taxonomicLevel";"trophicMode";"guild";"confidenceRanking";"growthForm";"trait";"notes";"citationSource"
"ASV296";NA;"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Phaffomycetaceae";"Cyberlindnera";"Cyberlindnera_jadinii";"NA;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera_jadinii";"Saccharomycetales";"B73A15F4-AB90-4E11-B6D7-E0BE710B986C";"816369";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Yeast";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV302";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV306";NA;"Ascomycota";"Dothideomycetes";"Dothideales";NA;NA;NA;"NA;Ascomycota;Dothideomycetes;Dothideales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV307";NA;"Basidiomycota";"Agaricomycetes";"Cantharellales";"Botryobasidiaceae";"Botryobasidium";NA;"NA;Basidiomycota;Agaricomycetes;Cantharellales;Botryobasidiaceae;Botryobasidium;NA";"Botryobasidiaceae";"1CB1CCD1-36B9-11D5-9548-00D0592D548C";"81744";"9";"Saprotroph";"Undefined Saprotroph-Wood Saprotroph";"Probable";"Corticioid";"NULL";"Saprobic, typically on rotten wood (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV309";NA;"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";NA;NA;"NA;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;NA";"Didymellaceae";"F971F4FB-F68A-481E-B5F1-2BF2B753AA5D";"508292";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"ASV312";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV313";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Chaenothecopsis";"Chaenothecopsis_pusiola";"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Chaenothecopsis;Chaenothecopsis_pusiola";"Chaenothecopsis pusiola";"0FE6486F-C266-4220-B77E-1C57C81E0CA5";"382508";"20";"Pathotroph";"Lichen Parasite";"Highly Probable";"Microfungus";"NULL";"Lichen parasite on Chaenotheca or saprophytic";"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))"
"ASV314";NA;"Ascomycota";"Arthoniomycetes";"Arthoniales";"Arthoniaceae";"Bryostigma";"Bryostigma_muscigenum";"NA;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Bryostigma;Bryostigma_muscigenum";"Arthoniaceae";"1CB1CCB8-36B9-11D5-9548-00D0592D548C";"80472";"9";"Pathotroph-Symbiotroph";"Lichen Parasite-Lichenized";"Probable";"Microfungus-Thallus";"NULL";"Lichenized and lichenicolous taxa (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV317";NA;"Ascomycota";"Sordariomycetes";NA;NA;NA;NA;"NA;Ascomycota;Sordariomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV325";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV327";NA;"Basidiomycota";"Agaricomycetes";"Boletales";"Coniophoraceae";"Coniophora";"Coniophora_puteana";"NA;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;Coniophora_puteana";"Coniophoraceae";"1CB1CCF5-36B9-11D5-9548-00D0592D548C";"80632";"9";"Pathotroph-Saprotroph";"Lichen Parasite-Wood Saprotroph";"Probable";"Corticioid-Microfungus";"Brown Rot";"Saprobic on wood, soil, etc., some species cause damage to living trees through heart-wood rot (and wooden parts of building - see Serpula), one species is lichenicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV328";NA;"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";NA;NA;"NA;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;NA";"Didymellaceae";"F971F4FB-F68A-481E-B5F1-2BF2B753AA5D";"508292";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"ASV329";NA;"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";NA;NA;"NA;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;NA";"Didymellaceae";"F971F4FB-F68A-481E-B5F1-2BF2B753AA5D";"508292";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
"ASV331";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Teratosphaeriaceae";"Devriesia";"Devriesia_sp";"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Devriesia;Devriesia_sp";"Teratosphaeriaceae";"87A3FDCC-E75C-4F2E-B987-C7579847CE32";"504465";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Plant Pathogen-Undefined Saprotroph";"Probable";"NULL";"NULL";"Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)";"Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))"
"ASV333";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Cuniculitremaceae";NA;NA;"NA;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;NA;NA";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV335";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV346";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV347";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV350";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV357";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";NA;NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV362";NA;"Ascomycota";"Saccharomycetes";"Saccharomycetales";"Phaffomycetaceae";"Cyberlindnera";"Cyberlindnera_jadinii";"NA;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera_jadinii";"Saccharomycetales";"B73A15F4-AB90-4E11-B6D7-E0BE710B986C";"816369";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Yeast";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV363";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV364";NA;"Ascomycota";"Sordariomycetes";NA;NA;NA;NA;"NA;Ascomycota;Sordariomycetes;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV368";NA;"Fungi_phy_Incertae_sedis";"Fungi_cls_Incertae_sedis";"Fungi_ord_Incertae_sedis";"Fungi_fam_Incertae_sedis";"Fungi_gen_Incertae_sedis";"Fungi_sp";"NA;Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis;Fungi_ord_Incertae_sedis;Fungi_fam_Incertae_sedis;Fungi_gen_Incertae_sedis;Fungi_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV371";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellales_fam_Incertae_sedis";"Tremellales_gen_Incertae_sedis";"Tremellales_sp";"NA;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_Incertae_sedis;Tremellales_gen_Incertae_sedis;Tremellales_sp";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV373";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Cladophialophora";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV374";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Myxotrichaceae";NA;NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;NA;NA";"Myxotrichaceae";"1CB1CD78-36B9-11D5-9548-00D0592D548C";"81054";"9";"Saprotroph-Symbiotroph";"Ectomycorrhizal-Undefined Saprotroph";"Probable";"Microfungus";"NULL";"Many species are cellulolytic, occurring on paper, straw etc. Others are mycorrhizal associated with roots of Ericaceae and Epacridaceae (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV375";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV378";NA;"Ascomycota";"Leotiomycetes";"Helotiales";"Mollisiaceae";NA;NA;"NA;Ascomycota;Leotiomycetes;Helotiales;Mollisiaceae;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV380";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV386";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV387";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV392";NA;"Basidiomycota";"Agaricomycetes";"Boletales";"Coniophoraceae";"Coniophora";"Coniophora_puteana";"NA;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;Coniophora_puteana";"Coniophoraceae";"1CB1CCF5-36B9-11D5-9548-00D0592D548C";"80632";"9";"Pathotroph-Saprotroph";"Lichen Parasite-Wood Saprotroph";"Probable";"Corticioid-Microfungus";"Brown Rot";"Saprobic on wood, soil, etc., some species cause damage to living trees through heart-wood rot (and wooden parts of building - see Serpula), one species is lichenicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV396";NA;"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";"Cladosporium";"Cladosporium_sp";"NA;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium_sp";"Cladosporiaceae";"6EDCD6E4-DE4D-443D-AF6B-A572F626BD45";"816548";"9";"Pathotroph-Saprotroph-Symbiotroph";"Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Wood Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))"
"ASV398";NA;"Basidiomycota";"Agaricomycetes";"Boletales";"Coniophoraceae";"Coniophora";"Coniophora_puteana";"NA;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;Coniophora_puteana";"Coniophoraceae";"1CB1CCF5-36B9-11D5-9548-00D0592D548C";"80632";"9";"Pathotroph-Saprotroph";"Lichen Parasite-Wood Saprotroph";"Probable";"Corticioid-Microfungus";"Brown Rot";"Saprobic on wood, soil, etc., some species cause damage to living trees through heart-wood rot (and wooden parts of building - see Serpula), one species is lichenicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV401";NA;"Basidiomycota";"Agaricomycetes";"Boletales";"Coniophoraceae";"Coniophora";"Coniophora_puteana";"NA;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Coniophora;Coniophora_puteana";"Coniophoraceae";"1CB1CCF5-36B9-11D5-9548-00D0592D548C";"80632";"9";"Pathotroph-Saprotroph";"Lichen Parasite-Wood Saprotroph";"Probable";"Corticioid-Microfungus";"Brown Rot";"Saprobic on wood, soil, etc., some species cause damage to living trees through heart-wood rot (and wooden parts of building - see Serpula), one species is lichenicolous (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV402";NA;"Ascomycota";"Sordariomycetes";"Hypocreales";"Hypocreales_fam_Incertae_sedis";"Sarocladium";NA;"NA;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis;Sarocladium;NA";"Hypocreales";"1CB18E60-36B9-11D5-9548-00D0592D548C";"90477";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV404";NA;"Ascomycota";"Dothideomycetes";"Mycosphaerellales";"Mycosphaerellaceae";"Acrodontium";NA;"NA;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Acrodontium;NA";"Mycosphaerellaceae";"1CB1CD75-36B9-11D5-9548-00D0592D548C";"81043";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Undefined Saprotroph";"Probable";"Microfungus";"NULL";"Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV411";NA;"Fungi_phy_Incertae_sedis";"Fungi_cls_Incertae_sedis";"Fungi_ord_Incertae_sedis";"Fungi_fam_Incertae_sedis";"Fungi_gen_Incertae_sedis";"Fungi_sp";"NA;Fungi_phy_Incertae_sedis;Fungi_cls_Incertae_sedis;Fungi_ord_Incertae_sedis;Fungi_fam_Incertae_sedis;Fungi_gen_Incertae_sedis;Fungi_sp";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV413";NA;"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Pseudogymnoascus";"Pseudogymnoascus_appendiculatus";"NA;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus_appendiculatus";"Pseudeurotiaceae";"1CB1CDAD-36B9-11D5-9548-00D0592D548C";"81222";"9";"Saprotroph";"Plant Saprotroph-Wood Saprotroph";"Probable";"Microfungus";"NULL";"Saprobic on woody tissue and rotting vegetation, often isolated from soil (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV418";NA;"Ascomycota";"Lecanoromycetes";"Ostropales";NA;NA;NA;"NA;Ascomycota;Lecanoromycetes;Ostropales;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV420";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";NA;"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;NA";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV424";NA;"Ascomycota";"Eurotiomycetes";"Verrucariales";"Verrucariaceae";"Verrucariaceae_gen_Incertae_sedis";"Verrucariaceae_sp";"NA;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Verrucariaceae_gen_Incertae_sedis;Verrucariaceae_sp";"Verrucariaceae";"1CB1CDFE-36B9-11D5-9548-00D0592D548C";"81910";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Lichenized with green algae, on rocks, soil, etc., more rarely on wood and bark (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV427";NA;"Ascomycota";"Eurotiomycetes";"Mycocaliciales";"Mycocaliciaceae";"Mycocalicium";NA;"NA;Ascomycota;Eurotiomycetes;Mycocaliciales;Mycocaliciaceae;Mycocalicium;NA";"Mycocalicium";"1CB1C925-36B9-11D5-9548-00D0592D548C";"3311";"13";"Pathotroph-Saprotroph-Symbiotroph";"Lichen Parasite-Lichenized-|Undefined Saprotroph|";"Possible";"Calicioid-Thallus";"NULL";"As resin_saprotroph (Põlme et al. 2020); licenized taxa; Lichenized and non";"Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)); Põlme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))"
"ASV431";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV432";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV434";NA;"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Pseudogymnoascus";"Pseudogymnoascus_appendiculatus";"NA;Ascomycota;Leotiomycetes;Thelebolales;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus_appendiculatus";"Pseudeurotiaceae";"1CB1CDAD-36B9-11D5-9548-00D0592D548C";"81222";"9";"Saprotroph";"Plant Saprotroph-Wood Saprotroph";"Probable";"Microfungus";"NULL";"Saprobic on woody tissue and rotting vegetation, often isolated from soil (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV436";NA;"Ascomycota";"Coniocybomycetes";"Coniocybales";"Coniocybaceae";"Chaenotheca";"Chaenotheca_chrysocephala";"NA;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca;Chaenotheca_chrysocephala";"Coniocybaceae";"1CB1CCF4-36B9-11D5-9548-00D0592D548C";"80630";"9";"Symbiotroph";"Lichenized";"Highly Probable";"Thallus";"NULL";"Mostly lichenized with green algae, on dry wood and simliar substrates (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV450";NA;"Basidiomycota";"Tremellomycetes";"Tremellales";"Tremellales_fam_Incertae_sedis";"Tremellales_gen_Incertae_sedis";"Tremellales_sp";"NA;Basidiomycota;Tremellomycetes;Tremellales;Tremellales_fam_Incertae_sedis;Tremellales_gen_Incertae_sedis;Tremellales_sp";"Tremellales";"1CB1CE64-36B9-11D5-9548-00D0592D548C";"90451";"7";"Pathotroph-Saprotroph-Symbiotroph";"Fungal Parasite-Undefined Saprotroph";"Possible";"Tremelloid-Yeast";"NULL";"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV451";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV453";NA;"Ascomycota";NA;NA;NA;NA;NA;"NA;Ascomycota;NA;NA;NA;NA;NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ASV455";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_sp";"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_sp";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV456";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_sp";"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_sp";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV459";NA;"Ascomycota";"Eurotiomycetes";"Chaetothyriales";"Herpotrichiellaceae";"Exophiala";"Exophiala_cinerea";"NA;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala_cinerea";"Herpotrichiellaceae";"1CB1CD37-36B9-11D5-9548-00D0592D548C";"80856";"9";"Pathotroph-Saprotroph";"Animal Pathogen-Fungal Parasite-Undefined Saprotroph";"Probable";"Facultative Yeast-Microfungus";"NULL";"Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
